#"Step" "Potential Energy (kJ/mole)" "Temperature (K)"
224000 22110.388209689238 309.49890976124493
224500 22169.020429167726 299.7202573899973
225000 22021.832549918272 320.15898885729706
225500 22092.123106587507 292.18929198078416
226000 22098.89649831114 280.901667896969
226500 22067.886085379698 294.49535522075
227000 22057.306685793974 298.564822629928
227500 22060.125046599485 291.7117179540362
228000 22036.544564593412 299.9414714414896
228500 22135.934328425505 297.05825405744685
229000 22089.202947962858 307.40414761991514
229500 22207.703622925856 277.6135965065003
230000 22110.582977641203 300.12210747131525
230500 22058.35930858908 278.7767163083041
231000 22081.11606859026 282.08691661373484
231500 22037.6728149539 283.1314564719018
232000 22114.343697894194 290.36305571139707
232500 22061.022734034636 306.78681597751915
233000 22059.90708957968 307.833383485134
233500 22149.974681723692 295.4127789814316
234000 22081.186984408476 309.5089228449381
234500 22177.81904791651 291.7414568126051
235000 22078.460012305357 282.6128788674302
235500 22067.078833926298 286.4736235470231
236000 22068.77947031317 292.99474443306633
236500 22137.986591685392 298.84153419779
237000 22082.73345087824 325.7680179497253
237500 22120.19612525759 308.0005519173922
238000 22100.331841815092 315.5281379108589
238500 22130.055563319303 328.40428765718417
239000 22136.02285229025 320.0907496919277
239500 22164.915124524214 318.33470513923015
240000 22116.083928454496 293.22146568059
240500 22088.982762206175 295.74749133658656
241000 22048.56343494711 298.1392415402571
241500 22006.23142372427 302.359731284238
242000 22045.441144335844 301.9763303096248
242500 22119.957335818388 279.3257086544939
243000 22070.363712657072 298.67171229835304
243500 22171.8225177413 297.4563742650891
244000 22082.766245234587 299.0615216465299
244500 22090.78012119589 335.57152780124136
245000 22031.02090774832 319.9536455434584
245500 22029.81744228659 299.79815918113053
246000 22088.606006610968 284.4883294431694
246500 21998.433933604338 284.0112811033154
247000 21959.23236690817 288.3001351762117
247500 21946.85618053732 296.0100844564411
248000 22020.214849818327 301.70036972303984
248500 21976.36325012503 322.95138757224237
249000 22082.75972591696 297.4093878698587
249500 21952.10496269522 309.1945120169712
250000 22144.32495247183 279.74575751542426
250500 21970.99828206358 315.15437452930047
251000 22031.252848971464 300.5127428988968
251500 21970.067513812162 312.31213569027216
252000 22078.7102399951 294.93187560435575
252500 22153.25112663565 295.1837296919493
253000 22138.568681705572 278.4885647923226
253500 22020.87479053793 293.2821449677708
254000 21995.397291529753 290.6954400245934
254500 21957.032995927908 292.6841385769028
255000 21964.17509876547 288.7434394240196
255500 21991.840169299223 295.9640743368708
256000 21927.81427894888 291.4303503022569
256500 22016.07552133856 285.1680175642648
257000 21983.965273249723 318.74454065479347
257500 22000.7817844039 296.119852886428
258000 21908.43930088339 277.9755444493008
258500 22010.888607848265 290.33597032000694
259000 21961.992235529997 276.6501375935391
259500 21873.171435464003 288.3512770011748
260000 21871.28622900305 305.3478857853857
260500 21957.805620539762 302.059814394917
261000 22038.596707451918 293.6156557528826
261500 21988.963769305326 284.78466665507005
262000 22040.356188166716 288.01033150142086
